Model Year,Mfr Name,Division,Carline,Engine Displacement,Cylinder,Transmission,City FE ,Highway FE,Combined FE,Air Aspiration Method,Transmission Desc,Gears,Drive Desc,Fuel Usage Desc,Carline Class Desc
2015,Toyota,TOYOTA,CAMRY HYBRID XLE/SE,2.5,4,Auto(AV),40,38,40,Naturally Aspirated,Continuously Variable,1,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Toyota,TOYOTA,COROLLA,1.8,4,Auto(A4),27,36,31,Naturally Aspirated,Automatic,4,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Toyota,TOYOTA,COROLLA,1.8,4,Auto(AV),29,38,32,Naturally Aspirated,Continuously Variable,1,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Toyota,TOYOTA,COROLLA,1.8,4,Automatic,29,37,32,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),7,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Toyota,TOYOTA,COROLLA,1.8,4,Manual,28,37,31,Naturally Aspirated,Manual,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Toyota,TOYOTA,COROLLA LE ECO,1.8,4,Auto(AV),30,42,35,Naturally Aspirated,Continuously Variable,1,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Toyota,TOYOTA,COROLLA LE ECO,1.8,4,Auto(AV),30,40,34,Naturally Aspirated,Continuously Variable,1,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Toyota,TOYOTA,PRIUS,1.8,4,Auto(AV),51,48,50,Naturally Aspirated,Continuously Variable,1,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Volkswagen Group of,Volkswagen,Passat,1.8,4,Auto(S6),24,36,28,Turbocharged,Semi-Automatic,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Volkswagen Group of,Volkswagen,Passat,1.8,4,Manual(M5),24,35,28,Turbocharged,Manual,5,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Volkswagen Group of,Volkswagen,Passat,2,4,Automatic,30,42,34,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,"2-Wheel Drive, Front","Diesel, ultra low sulfur (15 ppm, maximum)",Midsize Cars
2015,Volkswagen Group of,Volkswagen,Passat,2,4,Manual,30,44,35,Turbocharged,Manual,6,"2-Wheel Drive, Front","Diesel, ultra low sulfur (15 ppm, maximum)",Midsize Cars
2015,Volkswagen Group of,Volkswagen,Passat,3.6,6,Automatic,20,28,23,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,"2-Wheel Drive, Front",Gasoline (Premium Unleaded Recommended),Midsize Cars
2015,Volvo,"Volvo Cars of North America, LLC",S80 AWD,3,6,Auto(S6),19,28,22,Turbocharged,Semi-Automatic,6,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Volvo,"Volvo Cars of North America, LLC",S80 FWD,2,4,Automatic,25,37,29,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Volkswagen Group of,Audi,A8L,3,6,Automatic,24,36,28,Turbocharged,Semi-Automatic,8,All Wheel Drive,"Diesel, ultra low sulfur (15 ppm, maximum)",Large Cars
2015,Volkswagen Group of,Audi,A8L,3,6,Automatic,19,29,22,Supercharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Large Cars
2015,Volkswagen Group of,Audi,A8L,4,8,Automatic,18,29,21,Turbocharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Large Cars
2015,Volkswagen Group of,Audi,A8L,6.3,12,Automatic,13,22,16,Naturally Aspirated,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,328i xDrive Gran Turismo,2,4,Automatic,22,33,26,Turbocharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,335i xDrive Gran Turismo,3,6,Automatic,20,30,24,Turbocharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,535i Gran Turismo,3,6,Automatic,19,28,22,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,535i xDrive Gran Turismo,3,6,Automatic,18,26,21,Turbocharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,550i Gran Turismo,4.4,8,Automatic,16,25,19,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,550i xDrive Gran Turismo,4.4,8,Automatic,16,24,19,Turbocharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,740i,3,6,Automatic,19,29,23,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,740Ld xDrive,3,6,Automatic,23,31,26,Turbocharged,Semi-Automatic,8,All Wheel Drive,"Diesel, ultra low sulfur (15 ppm, maximum)",Large Cars
